feature,kras_egfr_group,value
COL1A2,Neither,0.0
COL1A2,Neither,3.2437846660614014
COL1A2,Neither,4.448250770568848
COL1A2,Neither,3.4116742610931396
COL1A2,Neither,4.146947383880615
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.8054697513580322
COL1A2,Neither,0.0
COL1A2,Neither,3.362288475036621
COL1A2,Neither,4.41440486907959
COL1A2,Neither,3.8632538318634033
COL1A2,Neither,2.0036048889160156
COL1A2,Neither,4.5118489265441895
COL1A2,Neither,4.630085468292236
COL1A2,Neither,3.213515520095825
COL1A2,Neither,5.235994338989258
COL1A2,Neither,3.5503454208374023
COL1A2,Neither,0.0
COL1A2,Neither,2.638430595397949
COL1A2,Neither,1.9096063375473022
COL1A2,Neither,3.2040200233459473
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,1.5474759340286255
COL1A2,Neither,2.3942668437957764
COL1A2,Neither,2.864112377166748
COL1A2,Neither,0.0
COL1A2,Neither,2.448164939880371
COL1A2,Neither,1.3232427835464478
COL1A2,Neither,2.0622212886810303
COL1A2,Neither,1.581244945526123
COL1A2,Neither,2.814955234527588
COL1A2,Neither,0.0
COL1A2,Neither,2.2153239250183105
COL1A2,Neither,1.9398490190505981
COL1A2,Neither,1.1685409545898438
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.2763702869415283
COL1A2,Neither,0.0
COL1A2,Neither,2.277547836303711
COL1A2,Neither,0.0
COL1A2,Neither,0.937566876411438
COL1A2,Neither,0.0
COL1A2,Neither,2.5601627826690674
COL1A2,Neither,2.5513956546783447
COL1A2,Neither,0.0
COL1A2,Neither,2.381244659423828
COL1A2,Neither,1.6348754167556763
COL1A2,Neither,0.0
COL1A2,Neither,1.564889907836914
COL1A2,Neither,1.6578638553619385
COL1A2,Neither,0.0
COL1A2,Neither,2.7197976112365723
COL1A2,Neither,2.9766318798065186
COL1A2,Neither,2.6890459060668945
COL1A2,Neither,3.377089262008667
COL1A2,Neither,2.0202770233154297
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.2992517948150635
COL1A2,Neither,2.1297178268432617
COL1A2,Neither,2.8561975955963135
COL1A2,Neither,3.0385396480560303
COL1A2,Neither,0.0
COL1A2,Neither,3.1898927688598633
COL1A2,Neither,2.0192012786865234
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.719207763671875
COL1A2,Neither,2.8469462394714355
COL1A2,Neither,3.2514050006866455
COL1A2,Neither,3.017364740371704
COL1A2,Neither,2.236903190612793
COL1A2,Neither,3.3982927799224854
COL1A2,Neither,3.599438428878784
COL1A2,Neither,2.4602553844451904
COL1A2,Neither,2.0051543712615967
COL1A2,Neither,2.7892541885375977
COL1A2,Neither,2.5859668254852295
COL1A2,Neither,2.42256760597229
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.2547478675842285
COL1A2,Neither,2.635775327682495
COL1A2,Neither,2.9162039756774902
COL1A2,Neither,2.6306464672088623
COL1A2,Neither,2.6648478507995605
COL1A2,Neither,0.0
COL1A2,Neither,2.127797842025757
COL1A2,Neither,2.4404892921447754
COL1A2,Neither,2.4533286094665527
COL1A2,Neither,2.8955788612365723
COL1A2,Neither,2.5877695083618164
COL1A2,Neither,0.0
COL1A2,Neither,2.878053665161133
COL1A2,Neither,2.9179563522338867
COL1A2,Neither,2.3065054416656494
COL1A2,Neither,2.7457237243652344
COL1A2,Neither,3.0375876426696777
COL1A2,Neither,1.1673269271850586
COL1A2,Neither,2.9145402908325195
COL1A2,Neither,2.058657646179199
COL1A2,Neither,2.5454163551330566
COL1A2,Neither,0.0
COL1A2,Neither,2.6414804458618164
COL1A2,Neither,3.604757070541382
COL1A2,Neither,2.5377824306488037
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.8086938858032227
COL1A2,Neither,3.391569137573242
COL1A2,Neither,0.0
COL1A2,Neither,3.0998470783233643
COL1A2,Neither,2.2466928958892822
COL1A2,Neither,0.0
COL1A2,Neither,2.4689459800720215
COL1A2,Neither,3.175588846206665
COL1A2,Neither,0.0
COL1A2,Neither,2.3076095581054688
COL1A2,Neither,2.7965304851531982
COL1A2,Neither,2.55605149269104
COL1A2,Neither,0.0
COL1A2,Neither,2.820432424545288
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,3.1136906147003174
COL1A2,Neither,0.0
COL1A2,Neither,2.5294899940490723
COL1A2,Neither,2.555785655975342
COL1A2,Neither,0.0
COL1A2,Neither,2.7123730182647705
COL1A2,Neither,2.1775400638580322
COL1A2,Neither,3.191981792449951
COL1A2,Neither,0.0
COL1A2,Neither,0.0
COL1A2,Neither,2.3153700828552246
COL1A2,Neither,1.5922402143478394
COL1A2,Neither,2.404209613800049
COL1A2,Neither,0.0
COL1A2,Neither,0.0
