feature,comparison,group1,group2,n_group1,n_group2,median_group1,median_group2,U_statistic,p_value,p_value_fdr
PI3K_AKT_MTOR_SIGNALING,1_vs_2,Early,Advanced,334214,226725,0.17585916973295668,0.16847663009375857,38880765507.0,1.4989448312553554e-62,1.670252811970253e-62
PROTEIN_SECRETION,0_vs_1,Non-Cancer,Early,810705,334214,0.17801353911693338,0.09271857815187079,186856796820.5,0.0,0.0
PROTEIN_SECRETION,0_vs_2,Non-Cancer,Advanced,810705,226725,0.17801353911693338,0.10953368711866232,120182133519.5,0.0,0.0
PROTEIN_SECRETION,1_vs_2,Early,Advanced,334214,226725,0.09271857815187079,0.10953368711866232,34384062537.0,0.0,0.0
REACTIVE_OXYGEN_SPECIES_PATHWAY,0_vs_1,Non-Cancer,Early,810705,334214,0.3744738036854989,0.25201623746121404,179362861563.0,0.0,0.0
REACTIVE_OXYGEN_SPECIES_PATHWAY,0_vs_2,Non-Cancer,Advanced,810705,226725,0.3744738036854989,0.22449253714951536,129724483104.0,0.0,0.0
REACTIVE_OXYGEN_SPECIES_PATHWAY,1_vs_2,Early,Advanced,334214,226725,0.25201623746121404,0.22449253714951536,40751745673.5,0.0,0.0
REACTOME_CELL_CYCLE,0_vs_1,Non-Cancer,Early,810705,334214,0.14783155500756837,0.1181530413946391,176406680735.0,0.0,0.0
REACTOME_CELL_CYCLE,0_vs_2,Non-Cancer,Advanced,810705,226725,0.14783155500756837,0.11208218464881914,121703948421.5,0.0,0.0
REACTOME_CELL_CYCLE,1_vs_2,Early,Advanced,334214,226725,0.1181530413946391,0.11208218464881914,39364655571.5,5.127019846860609e-136,5.9687693739571265e-136
REACTOME_SIGNALING_BY_EGFR_IN_CANCER,0_vs_1,Non-Cancer,Early,810705,334214,0.41204713091343825,0.4283853900504256,135424645943.5,0.7566002311927456,0.7614815230068923
REACTOME_SIGNALING_BY_EGFR_IN_CANCER,0_vs_2,Non-Cancer,Advanced,810705,226725,0.41204713091343825,0.39090516191685126,102308986408.0,0.0,0.0
REACTOME_SIGNALING_BY_EGFR_IN_CANCER,1_vs_2,Early,Advanced,334214,226725,0.4283853900504256,0.39090516191685126,41643131970.0,0.0,0.0
SPERMATOGENESIS,0_vs_1,Non-Cancer,Early,810705,334214,-0.004427723163253655,-0.016462106454082873,162159904268.5,0.0,0.0
SPERMATOGENESIS,0_vs_2,Non-Cancer,Advanced,810705,226725,-0.004427723163253655,-0.01373227258010791,106182600364.5,0.0,0.0
SPERMATOGENESIS,1_vs_2,Early,Advanced,334214,226725,-0.016462106454082873,-0.01373227258010791,36207882209.0,3.4413467090794103e-175,4.2607149731459366e-175
TGF_BETA_SIGNALING,0_vs_1,Non-Cancer,Early,810705,334214,0.15144242456051166,0.10615879864147136,162843540842.5,0.0,0.0
TGF_BETA_SIGNALING,0_vs_2,Non-Cancer,Advanced,810705,226725,0.15144242456051166,0.09308826694254099,115108926666.5,0.0,0.0
TGF_BETA_SIGNALING,1_vs_2,Early,Advanced,334214,226725,0.10615879864147136,0.09308826694254099,40180471600.5,0.0,0.0
TNFA_SIGNALING_VIA_NFKB,0_vs_1,Non-Cancer,Early,810705,334214,0.2073871524408873,0.14570487674635574,162547448977.5,0.0,0.0
TNFA_SIGNALING_VIA_NFKB,0_vs_2,Non-Cancer,Advanced,810705,226725,0.2073871524408873,0.11311066823173141,114929311952.5,0.0,0.0
TNFA_SIGNALING_VIA_NFKB,1_vs_2,Early,Advanced,334214,226725,0.14570487674635574,0.11311066823173141,39673854927.0,5.75481127356038e-198,7.23992386028564e-198
UNFOLDED_PROTEIN_RESPONSE,0_vs_1,Non-Cancer,Early,810705,334214,0.21023311852777385,0.15672391305389613,173691691941.0,0.0,0.0
UNFOLDED_PROTEIN_RESPONSE,0_vs_2,Non-Cancer,Advanced,810705,226725,0.21023311852777385,0.15706737786406316,113844314957.0,0.0,0.0
UNFOLDED_PROTEIN_RESPONSE,1_vs_2,Early,Advanced,334214,226725,0.15672391305389613,0.15706737786406316,36208031285.5,3.693711338520991e-175,4.5371572347186974e-175
UV_RESPONSE_DN,0_vs_1,Non-Cancer,Early,810705,334214,0.04606182504672032,0.005737610564825593,176537269835.0,0.0,0.0
UV_RESPONSE_DN,0_vs_2,Non-Cancer,Advanced,810705,226725,0.04606182504672032,0.013791457941783727,115284551568.0,0.0,0.0
UV_RESPONSE_DN,1_vs_2,Early,Advanced,334214,226725,0.005737610564825593,0.013791457941783727,35851209082.5,1.6186772040025175e-256,2.1042803652032727e-256
UV_RESPONSE_UP,0_vs_1,Non-Cancer,Early,810705,334214,0.2089331649392832,0.13819404403758526,183688945605.0,0.0,0.0
UV_RESPONSE_UP,0_vs_2,Non-Cancer,Advanced,810705,226725,0.2089331649392832,0.12630006145711303,127135246107.0,0.0,0.0
UV_RESPONSE_UP,1_vs_2,Early,Advanced,334214,226725,0.13819404403758526,0.12630006145711303,38591198620.5,2.8449870723516366e-32,3.0820693283809394e-32
WNT_BETA_CATENIN_SIGNALING,0_vs_1,Non-Cancer,Early,810705,334214,-0.030641089692668967,-0.03905323207778419,143393217510.5,0.0,0.0
WNT_BETA_CATENIN_SIGNALING,0_vs_2,Non-Cancer,Advanced,810705,226725,-0.030641089692668967,-0.043800635625852034,98463926078.5,0.0,0.0
WNT_BETA_CATENIN_SIGNALING,1_vs_2,Early,Advanced,334214,226725,-0.03905323207778419,-0.043800635625852034,38473201898.0,7.279092185057118e-23,7.672556627492638e-23
XENOBIOTIC_METABOLISM,0_vs_1,Non-Cancer,Early,810705,334214,0.13901797739398974,0.04869927881653406,200577734295.5,0.0,0.0
XENOBIOTIC_METABOLISM,0_vs_2,Non-Cancer,Advanced,810705,226725,0.13901797739398974,0.051208073401110624,138362569596.0,0.0,0.0
XENOBIOTIC_METABOLISM,1_vs_2,Early,Advanced,334214,226725,0.04869927881653406,0.051208073401110624,37193396194.5,2.0450930700612157e-31,2.185167937873628e-31
